ADC—Add
14 ib                                   |ADC AL, imm8
0F A3 /r                                |BT r/m32, r32
REX.W + 0F A3 /r                        |BT r/m64, r64
0F BA /4 ib                             |BT r/m16, imm8
0F BA /4 ib                             |BT r/m32, imm8
REX.W + 0F BA /4 ib                     |BT r/m64, imm8
BTC—Bit
0F BB /r                                |BTC r/m16, r16
0F BB /r                                |BTC r/m32, r32
REX.W + 0F BB /r                        |BTC r/m64, r64
0F BA /7 ib                             |BTC r/m16, imm8
0F BA /7 ib                             |BTC r/m32, imm8
REX.W + 0F BA /7 ib                     |BTC r/m64, imm8
BTR—Bit
0F B3 /r                                |BTR r/m16, r16
0F B3 /r                                |BTR r/m32, r32
REX.W + 0F B3 /r                        |BTR r/m64, r64
0F BA /6 ib                             |BTR r/m16, imm8
0F BA /6 ib                             |BTR r/m32, imm8
REX.W + 0F BA /6 ib                     |BTR r/m64, imm8
BTS—Bit
0F AB /r                                |BTS r/m16, r16
0F AB /r                                |BTS r/m32, r32
REX.W + 0F AB /r                        |BTS r/m64, r64
0F BA /5 ib                             |BTS r/m16, imm8
0F BA /5 ib                             |BTS r/m32, imm8
REX.W + 0F BA /5 ib                     |BTS r/m64, imm8
BZHI—Zero
VEX.LZ.0F38.W0 F5 /r                    |BZHI r32a, r/m32, r32b
VEX.LZ.0F38.W1 F5 /r                    |BZHI r64a, r/m64, r64b
CALL—Call
E8 cd                                   |CALL rel32
FF /2                                   |CALL r/m64
FF /3                                   |CALL m16:16
FF /3                                   |CALL m16:32
REX.W FF /3                             |CALL m16:64
CBW/CWDE/CDQE—Convert
98                                      |CBW
98                                      |CWDE
REX.W + 98                              |CDQE
CLAC—Clear
NP 0F 01 CA                             |CLAC
CLC—Clear
F8                                      |CLC
CLD—Clear
FC                                      |CLD
CLDEMOTE—Cache
NP 0F 1C /0                             |CLDEMOTE m8
CLFLUSH—Flush
NP 0F AE /7                             |CLFLUSH m8
CLFLUSHOPT—Flush
NFx 66 0F AE /7                         |CLFLUSHOPT m8
CLI—Clear
FA                                      |CLI
CLRSSBSY—Clear
F3 0F AE /6                             |CLRSSBSY m64
CLTS—Clear
0F 06                                   |CLTS
CLUI—Clear
F3 0F 01 EE                             |CLUI
CLWB—Cache
66 0F AE /6                             |CLWB m8
CMC—Complement
F5                                      |CMC
CMOVcc—Conditional
0F 47 /r                                |CMOVA r16, r/m16
0F 47 /r                                |CMOVA r32, r/m32
REX.W + 0F 47 /r                        |CMOVA r64, r/m64
0F 43 /r                                |CMOVAE r16, r/m16
0F 43 /r                                |CMOVAE r32, r/m32
REX.W + 0F 43 /r                        |CMOVAE r64, r/m64
0F 42 /r                                |CMOVB r16, r/m16
0F 42 /r                                |CMOVB r32, r/m32
REX.W + 0F 42 /r                        |CMOVB r64, r/m64
0F 46 /r                                |CMOVBE r16, r/m16
0F 46 /r                                |CMOVBE r32, r/m32
REX.W + 0F 46 /r                        |CMOVBE r64, r/m64
0F 42 /r                                |CMOVC r16, r/m16
0F 42 /r                                |CMOVC r32, r/m32
REX.W + 0F 42 /r                        |CMOVC r64, r/m64
0F 44 /r                                |CMOVE r16, r/m16
0F 44 /r                                |CMOVE r32, r/m32
REX.W + 0F 44 /r                        |CMOVE r64, r/m64
0F 4F /r                                |CMOVG r16, r/m16
0F 4F /r                                |CMOVG r32, r/m32
REX.W + 0F 4F /r                        |CMOVG r64, r/m64
0F 4D /r                                |CMOVGE r16, r/m16
0F 4D /r                                |CMOVGE r32, r/m32
REX.W + 0F 4D /r                        |CMOVGE r64, r/m64
0F 4C /r                                |CMOVL r16, r/m16
0F 4C /r                                |CMOVL r32, r/m32
REX.W + 0F 4C /r                        |CMOVL r64, r/m64
0F 4E /r                                |CMOVLE r16, r/m16
0F 4E /r                                |CMOVLE r32, r/m32
REX.W + 0F 4E /r                        |CMOVLE r64, r/m64
0F 46 /r                                |CMOVNA r16, r/m16
0F 46 /r                                |CMOVNA r32, r/m32
REX.W + 0F 46 /r                        |CMOVNA r64, r/m64
0F 42 /r                                |CMOVNAE r16, r/m16
0F 42 /r                                |CMOVNAE r32, r/m32
REX.W + 0F 42 /r                        |CMOVNAE r64, r/m64
0F 43 /r                                |CMOVNB r16, r/m16
0F 43 /r                                |CMOVNB r32, r/m32
REX.W + 0F 43 /r                        |CMOVNB r64, r/m64
0F 47 /r                                |CMOVNBE r16, r/m16
CMOVcc—Conditional
0F 47 /r                                |CMOVNBE r32, r/m32
REX.W + 0F 47 /r                        |CMOVNBE r64, r/m64
0F 43 /r                                |CMOVNC r16, r/m16
0F 43 /r                                |CMOVNC r32, r/m32
REX.W + 0F 43 /r                        |CMOVNC r64, r/m64
0F 45 /r                                |CMOVNE r16, r/m16
0F 45 /r                                |CMOVNE r32, r/m32
REX.W + 0F 45 /r                        |CMOVNE r64, r/m64
0F 4E /r                                |CMOVNG r16, r/m16
0F 4E /r                                |CMOVNG r32, r/m32
REX.W + 0F 4E /r                        |CMOVNG r64, r/m64
0F 4C /r                                |CMOVNGE r16, r/m16
0F 4C /r                                |CMOVNGE r32, r/m32
REX.W + 0F 4C /r                        |CMOVNGE r64, r/m64
0F 4D /r                                |CMOVNL r16, r/m16
0F 4D /r                                |CMOVNL r32, r/m32
REX.W + 0F 4D /r                        |CMOVNL r64, r/m64
0F 4F /r                                |CMOVNLE r16, r/m16
0F 4F /r                                |CMOVNLE r32, r/m32
REX.W + 0F 4F /r                        |CMOVNLE r64, r/m64
0F 41 /r                                |CMOVNO r16, r/m16
0F 41 /r                                |CMOVNO r32, r/m32
REX.W + 0F 41 /r                        |CMOVNO r64, r/m64
0F 4B /r                                |CMOVNP r16, r/m16
0F 4B /r                                |CMOVNP r32, r/m32
REX.W + 0F 4B /r                        |CMOVNP r64, r/m64
0F 49 /r                                |CMOVNS r16, r/m16
0F 49 /r                                |CMOVNS r32, r/m32
REX.W + 0F 49 /r                        |CMOVNS r64, r/m64
0F 45 /r                                |CMOVNZ r16, r/m16
0F 45 /r                                |CMOVNZ r32, r/m32
REX.W + 0F 45 /r                        |CMOVNZ r64, r/m64
0F 40 /r                                |CMOVO r16, r/m16
0F 40 /r                                |CMOVO r32, r/m32
REX.W + 0F 40 /r                        |CMOVO r64, r/m64
0F 4A /r                                |CMOVP r16, r/m16
0F 4A /r                                |CMOVP r32, r/m32
REX.W + 0F 4A /r                        |CMOVP r64, r/m64
0F 4A /r                                |CMOVPE r16, r/m16
0F 4A /r                                |CMOVPE r32, r/m32
REX.W + 0F 4A /r                        |CMOVPE r64, r/m64
CMOVcc—Conditional
0F 4B /r                                |CMOVPO r16, r/m16
0F 4B /r                                |CMOVPO r32, r/m32
REX.W + 0F 4B /r                        |CMOVPO r64, r/m64
0F 48 /r                                |CMOVS r16, r/m16
0F 48 /r                                |CMOVS r32, r/m32
REX.W + 0F 48 /r                        |CMOVS r64, r/m64
0F 44 /r                                |CMOVZ r16, r/m16
0F 44 /r                                |CMOVZ r32, r/m32
REX.W + 0F 44 /r                        |CMOVZ r64, r/m64
CMP—Compare
3C ib                                   |CMP AL, imm8
3D iw                                   |CMP AX, imm16
3D id                                   |CMP EAX, imm32
REX.W + 3D id                           |CMP RAX, imm32
80 /7 ib                                |CMP r/m8, imm8
REX + 80 /7 ib                          |CMP r/m8 , imm8
81 /7 iw                                |CMP r/m16, imm16
81 /7 id                                |CMP r/m32, imm32
REX.W + 81 /7 id                        |CMP r/m64, imm32
83 /7 ib                                |CMP r/m16, imm8
83 /7 ib                                |CMP r/m32, imm8
REX.W + 83 /7 ib                        |CMP r/m64, imm8
38 /r                                   |CMP r/m8, r8
REX + 38 /r                             |CMP r/m8 , r8
39 /r                                   |CMP r/m16, r16
39 /r                                   |CMP r/m32, r32
REX.W + 39 /r                           |CMP r/m64,r64
3A /r                                   |CMP r8, r/m8
REX + 3A /r                             |CMP r8 , r/m8
3B /r                                   |CMP r16, r/m16
3B /r                                   |CMP r32, r/m32
REX.W + 3B /r                           |CMP r64, r/m64
CMPPD—Compare
66 0F C2 /r ib                          |CMPPD xmm1, xmm2/m128, imm8
VEX.128.66.0F.WIG C2 /r ib              |VCMPPD xmm1, xmm2, xmm3/m128,imm8
VEX.256.66.0F.WIG C2 /r ib              |VCMPPD ymm1, ymm2, ymm3/m256,imm8
CMPPS—Compare
NP 0F C2 /r ib                          |CMPPS xmm1, xmm2/m128, imm8
VEX.128.0F.WIG C2 /r ib                 |VCMPPS xmm1, xmm2,xmm3/m128, imm8
VEX.256.0F.WIG C2 /r ib                 |VCMPPS ymm1, ymm2,ymm3/m256, imm8
CMPS/CMPSB/CMPSW/CMPSD/CMPSQ—Compare
A6                                      |CMPS m8, m8
A7                                      |CMPS m16, m16
A7                                      |CMPS m32, m32
REX.W + A7                              |CMPS m64, m64
A6                                      |CMPSB
A7                                      |CMPSW
A7                                      |CMPSD
REX.W + A7                              |CMPSQ
CMPSD—Compare
F2 0F C2 /r ib                          |CMPSD xmm1, xmm2/m64, imm8
VEX.LIG.F2.0F.WIG C2 /r ib              |VCMPSD xmm1, xmm2, xmm3/m64,imm8
CMPSS—Compare
F3 0F C2 /r ib                          |CMPSS xmm1, xmm2/m32, imm8
VEX.LIG.F3.0F.WIG C2 /r ib              |VCMPSS xmm1, xmm2, xmm3/m32,imm8
CMPXCHG—Compare
0F B0/r                                 |CMPXCHG r/m8, r8
REX + 0F B0/r                           |CMPXCHG r/m8,r8
0F B1/r                                 |CMPXCHG r/m16, r16
0F B1/r                                 |CMPXCHG r/m32, r32
REX.W + 0F B1/r                         |CMPXCHG r/m64, r64
CMPXCHG8B/CMPXCHG16B—Compare
0F C7 /1                                |CMPXCHG8B m64
REX.W + 0F C7 /1                        |CMPXCHG16B m128
COMISD—Compare
66 0F 2F /r                             |COMISD xmm1, xmm2/m64
VEX.LIG.66.0F.WIG 2F /r                 |VCOMISD xmm1, xmm2/m64
COMISS—Compare
NP 0F 2F /r                             |COMISS xmm1, xmm2/m32
VEX.LIG.0F.WIG 2F /r                    |VCOMISS xmm1, xmm2/m32
CPUID—CPU
0F A2                                   |CPUID
CRC32—Accumulate
F2 0F 38 F0 /r                          |CRC32 r32, r/m8
F2 REX 0F 38 F0 /r                      |CRC32 r32, r/m8
F2 0F 38 F1 /r                          |CRC32 r32, r/m16
F2 0F 38 F1 /r                          |CRC32 r32, r/m32
F2 REX.W 0F 38 F0 /r                    |CRC32 r64, r/m8
F2 REX.W 0F 38 F1 /r                    |CRC32 r64, r/m64
CVTDQ2PD—Convert
F3 0F E6 /r                             |CVTDQ2PD xmm1, xmm2/m64
VEX.128.F3.0F.WIG E6 /r                 |VCVTDQ2PD xmm1, xmm2/m64
VEX.256.F3.0F.WIG E6 /r                 |VCVTDQ2PD ymm1, xmm2/m128
CVTPD2PI—Convert
66 0F 2D /r                             |CVTPD2PI mm, xmm/m128
CVTPD2PS—Convert
66 0F 5A /r                             |CVTPD2PS xmm1, xmm2/m128
VEX.128.66.0F.WIG 5A /r                 |VCVTPD2PS xmm1, xmm2/m128
VEX.256.66.0F.WIG 5A /r                 |VCVTPD2PS xmm1, ymm2/m256
CVTPI2PD—Convert
66 0F 2A /r                             |CVTPI2PD xmm, mm/m64
CVTPI2PS—Convert
NP 0F 2A /r                             |CVTPI2PS xmm, mm/m64
CVTPS2DQ—Convert
66 0F 5B /r                             |CVTPS2DQ xmm1, xmm2/m128
VEX.128.66.0F.WIG 5B /r                 |VCVTPS2DQ xmm1, xmm2/m128
VEX.256.66.0F.WIG 5B /r                 |VCVTPS2DQ ymm1, ymm2/m256
CVTPS2PD—Convert
NP 0F 5A /r                             |CVTPS2PD xmm1, xmm2/m64
VEX.128.0F.WIG 5A /r                    |VCVTPS2PD xmm1, xmm2/m64
VEX.256.0F.WIG 5A /r                    |VCVTPS2PD ymm1, xmm2/m128
CVTPS2PI—Convert
NP 0F 2D /r                             |CVTPS2PI mm, xmm/m64
CVTSD2SI—Convert
F2 0F 2D /r                             |CVTSD2SI r32, xmm1/m64
F2 REX.W 0F 2D /r                       |CVTSD2SI r64, xmm1/m64
VEX.LIG.F2.0F.W0 2D /r 1                |VCVTSD2SI r32, xmm1/m64
VEX.LIG.F2.0F.W1 2D /r 1                |VCVTSD2SI r64, xmm1/m64
CVTSD2SS—Convert
F2 0F 5A /r                             |CVTSD2SS xmm1, xmm2/m64
VEX.LIG.F2.0F.WIG 5A /r                 |VCVTSD2SS xmm1,xmm2, xmm3/m64
CVTSI2SD—Convert
F2 0F 2A /r                             |CVTSI2SD xmm1, r32/m32
F2 REX.W 0F 2A /r                       |CVTSI2SD xmm1, r/m64
VEX.LIG.F2.0F.W0 2A /r                  |VCVTSI2SD xmm1, xmm2, r/m32
VEX.LIG.F2.0F.W1 2A /r                  |VCVTSI2SD xmm1, xmm2, r/m64
CVTSI2SS—Convert
F3 0F 2A /r                             |CVTSI2SS xmm1, r/m32
F3 REX.W 0F 2A /r                       |CVTSI2SS xmm1, r/m64
VEX.LIG.F3.0F.W0 2A /r                  |VCVTSI2SS xmm1, xmm2, r/m32
VEX.LIG.F3.0F.W1 2A /r                  |VCVTSI2SS xmm1, xmm2, r/m64
CVTSS2SD—Convert
F3 0F 5A /r                             |CVTSS2SD xmm1, xmm2/m32
VEX.LIG.F3.0F.WIG 5A /r                 |VCVTSS2SD xmm1, xmm2,xmm3/m32
CVTSS2SI—Convert
F3 0F 2D /r                             |CVTSS2SI r32, xmm1/m32
F3 REX.W 0F 2D /r                       |CVTSS2SI r64, xmm1/m32
VEX.LIG.F3.0F.W0 2D /r 1                |VCVTSS2SI r32, xmm1/m32
VEX.LIG.F3.0F.W1 2D /r 1                |VCVTSS2SI r64, xmm1/m32
CVTTPD2DQ—Convert
66 0F E6 /r                             |CVTTPD2DQ xmm1, xmm2/m128
VEX.128.66.0F.WIG E6 /r                 |VCVTTPD2DQ xmm1, xmm2/m128
VEX.256.66.0F.WIG E6 /r                 |VCVTTPD2DQ xmm1, ymm2/m256
CVTTPD2PI—Convert
66 0F 2C /r                             |CVTTPD2PI mm, xmm/m128
CVTTPS2DQ—Convert
F3 0F 5B /r                             |CVTTPS2DQ xmm1, xmm2/m128
VEX.128.F3.0F.WIG 5B /r                 |VCVTTPS2DQ xmm1, xmm2/m128
VEX.256.F3.0F.WIG 5B /r                 |VCVTTPS2DQ ymm1, ymm2/m256
CVTTPS2PI—Convert
NP 0F 2C /r                             |CVTTPS2PI mm, xmm/m64
CVTTSD2SI—Convert
F2 0F 2C /r                             |CVTTSD2SI r32, xmm1/m64
F2 REX.W 0F 2C /r                       |CVTTSD2SI r64, xmm1/m64
VEX.LIG.F2.0F.W0 2C /r 1                |VCVTTSD2SI r32, xmm1/m64
VEX.LIG.F2.0F.W1 2C /r 1                |VCVTTSD2SI r64, xmm1/m64
CVTTSS2SI—Convert
F3 0F 2C /r                             |CVTTSS2SI r32, xmm1/m32
F3 REX.W 0F 2C /r                       |CVTTSS2SI r64, xmm1/m32
VEX.LIG.F3.0F.W0 2C /r 1                |VCVTTSS2SI r32, xmm1/m32
VEX.LIG.F3.0F.W1 2C /r 1                |VCVTTSS2SI r64, xmm1/m32
CWD/CDQ/CQO—Convert
99                                      |CWD
99                                      |CDQ
REX.W + 99                              |CQO
DEC—Decrement
FE /1                                   |DEC r/m8
REX + FE /1                             |DEC r/m8
FF /1                                   |DEC r/m16
FF /1                                   |DEC r/m32
REX.W + FF /1                           |DEC r/m64
DIV—Unsigned
F6 /6                                   |DIV r/m8
REX + F6 /6                             |DIV r/m8
F7 /6                                   |DIV r/m16
F7 /6                                   |DIV r/m32
REX.W + F7 /6                           |DIV r/m64
DIVPD—Divide
66 0F 5E /r                             |DIVPD xmm1, xmm2/m128
VEX.128.66.0F.WIG 5E /r                 |VDIVPD xmm1, xmm2, xmm3/m128
VEX.256.66.0F.WIG 5E /r                 |VDIVPD ymm1, ymm2, ymm3/m256
DIVPS—Divide
NP 0F 5E /r                             |DIVPS xmm1, xmm2/m128
VEX.128.0F.WIG 5E /r                    |VDIVPS xmm1, xmm2, xmm3/m128
VEX.256.0F.WIG 5E /r                    |VDIVPS ymm1, ymm2, ymm3/m256
DIVSD—Divide
F2 0F 5E /r                             |DIVSD xmm1, xmm2/m64
VEX.LIG.F2.0F.WIG 5E /r                 |VDIVSD xmm1, xmm2, xmm3/m64
DIVSS—Divide
F3 0F 5E /r                             |DIVSS xmm1, xmm2/m32
VEX.LIG.F3.0F.WIG 5E /r                 |VDIVSS xmm1, xmm2, xmm3/m32
DPPD—Dot
66 0F 3A 41 /r ib                       |DPPD xmm1, xmm2/m128, imm8
VEX.128.66.0F3A.WIG 41 /r ib            |VDPPD xmm1,xmm2, xmm3/m128, imm8
DPPS—Dot
66 0F 3A 40 /r ib                       |DPPS xmm1, xmm2/m128, imm8
VEX.128.66.0F3A.WIG 40 /r ib            |VDPPS xmm1,xmm2, xmm3/m128, imm8
